1.952778730088497809e+02,1.981364136178272588e+02,2.677723796432640597e+02,2.269955474587345634e+02,2.390919723564293236e+02
1.913529968581813421e+02,1.953262737564216991e+02,2.670355913327677513e+02,2.261106215590137651e+02,2.393125527829041062e+02
1.889357966356823226e+02,1.931682492179294854e+02,2.663134394339670621e+02,2.256279576316632074e+02,2.387817326386555123e+02
1.881187010892038245e+02,1.928932019293465885e+02,2.663188360651700464e+02,2.255132729457544656e+02,2.371101663456268227e+02
1.883995917373781026e+02,1.922979120611882422e+02,2.651445350580365812e+02,2.244603117468824394e+02,2.374386474009457402e+02
1.882848660224485400e+02,1.927781631771094908e+02,2.648065423924028323e+02,2.246346044156443043e+02,2.381648352384704594e+02
1.903546776475589866e+02,1.930649933206440778e+02,2.628045885947274769e+02,2.236028658502422388e+02,2.368894071077974957e+02
1.902703932768246773e+02,1.933325740819845748e+02,2.623182383643537605e+02,2.226217464719937595e+02,2.372457635489524819e+02
1.895802138197219335e+02,1.932032335686319868e+02,2.622163999946857302e+02,2.219061448406798718e+02,2.363030454133392482e+02
2.010256462766287484e+02,1.968916630733619400e+02,2.627145323896098148e+02,2.239255279926242395e+02,2.377709560740744053e+02
2.537288624774080859e+02,2.098109702141270247e+02,2.635216549960468342e+02,2.248436771829642851e+02,2.372566282666191739e+02
2.780754583819526715e+02,2.184939298178722993e+02,2.655810619300829103e+02,2.236630764994453102e+02,2.383657477849377528e+02
2.866829500312143182e+02,2.186739703964509260e+02,2.644403639253847018e+02,2.240494779325293280e+02,2.399196458391771216e+02
3.286724967407198505e+02,2.270972481140388481e+02,2.660288544665202721e+02,2.256615339172814458e+02,2.384709146205740353e+02
3.267227353232271412e+02,2.275977967632150296e+02,2.652443201031830426e+02,2.245880796465955598e+02,2.395235783868507156e+02
3.170441772618926848e+02,2.238806326127342174e+02,2.649039343966932734e+02,2.244628037734464954e+02,2.394480994451618585e+02
3.158724090218200899e+02,2.288189285950031149e+02,2.663582120068118684e+02,2.262782782374848125e+02,2.410171219410069341e+02
2.891652848078707621e+02,2.231112629399019909e+02,2.666483581126329341e+02,2.283441079362214907e+02,2.450624582563546312e+02
2.289019251385752227e+02,2.080331226924612054e+02,2.665268910527920525e+02,2.271076235518364115e+02,2.433996963265101670e+02
2.116555862813718818e+02,2.064770029956342796e+02,2.673759323938709258e+02,2.264899381632029645e+02,2.411967104429340054e+02
2.120866900666825927e+02,2.082946222775479441e+02,2.689212092427328002e+02,2.264789745159291670e+02,2.409025025226890193e+02
1.999249016518909343e+02,2.018544064603430286e+02,2.671845376768108622e+02,2.253518816700350840e+02,2.402090328181903374e+02
