sensor,ts,month,weekdate,hour,speed,lat,lon
767751,1451710800.0,01,5,21,65.32788671023964,34.093354999999995,-118.20615600000001
767760,1451710800.0,01,5,21,65.18229847494554,34.112911,-118.176901
767768,1451710800.0,01,5,21,65.86653050108931,34.11906,-118.162079
772513,1451710800.0,01,5,21,57.30378540305011,34.068706,-118.23660500000001
767751,1451714400.0,01,5,22,66.12254901960783,34.093354999999995,-118.20615600000001
767760,1451714400.0,01,5,22,66.20526960784314,34.112911,-118.176901
767768,1451714400.0,01,5,22,64.92479575163398,34.11906,-118.162079
772513,1451714400.0,01,5,22,55.96752450980392,34.068706,-118.23660500000001
767751,1451718000.0,01,5,23,66.73774509803921,34.093354999999995,-118.20615600000001
767760,1451718000.0,01,5,23,65.6813725490196,34.112911,-118.176901
767768,1451718000.0,01,5,23,66.0091911764706,34.11906,-118.162079
772513,1451718000.0,01,5,23,59.670955882352935,34.068706,-118.23660500000001
767751,1451721600.0,01,6,00,67.37622549019609,34.093354999999995,-118.20615600000001
767760,1451721600.0,01,6,00,65.27144607843137,34.112911,-118.176901
767768,1451721600.0,01,6,00,67.58333333333333,34.11906,-118.162079
772513,1451721600.0,01,6,00,60.57720588235293,34.068706,-118.23660500000001
767751,1451725200.0,01,6,01,67.53519880174292,34.093354999999995,-118.20615600000001
767760,1451725200.0,01,6,01,66.44240196078431,34.112911,-118.176901
767768,1451725200.0,01,6,01,67.16183278867102,34.11906,-118.162079
772513,1451725200.0,01,6,01,60.56161492374727,34.068706,-118.23660500000001
767751,1451728800.0,01,6,02,67.90039488017429,34.093354999999995,-118.20615600000001
767760,1451728800.0,01,6,02,65.54765795206971,34.112911,-118.176901
767768,1451728800.0,01,6,02,67.78676470588235,34.11906,-118.162079
772513,1451728800.0,01,6,02,61.746187363834416,34.068706,-118.23660500000001
767751,1451732400.0,01,6,03,67.59061819172113,34.093354999999995,-118.20615600000001
767760,1451732400.0,01,6,03,66.74019607843137,34.112911,-118.176901
767768,1451732400.0,01,6,03,68.51225490196077,34.11906,-118.162079
772513,1451732400.0,01,6,03,61.17068355119826,34.068706,-118.23660500000001
767751,1451736000.0,01,6,04,68.26108597285067,34.093354999999995,-118.20615600000001
767760,1451736000.0,01,6,04,66.58415032679737,34.112911,-118.176901
767768,1451736000.0,01,6,04,68.95328473269647,34.11906,-118.162079
772513,1451736000.0,01,6,04,61.97632813809283,34.068706,-118.23660500000001
767751,1451739600.0,01,6,05,66.48665577342047,34.093354999999995,-118.20615600000001
767760,1451739600.0,01,6,05,65.14590141612199,34.112911,-118.176901
767768,1451739600.0,01,6,05,67.71350762527233,34.11906,-118.162079
772513,1451739600.0,01,6,05,58.730392156862735,34.068706,-118.23660500000001
767751,1451743200.0,01,6,06,66.66237745098039,34.093354999999995,-118.20615600000001
767760,1451743200.0,01,6,06,65.41973039215685,34.112911,-118.176901
767768,1451743200.0,01,6,06,66.3468137254902,34.11906,-118.162079
772513,1451743200.0,01,6,06,58.5392156862745,34.068706,-118.23660500000001
767751,1451746800.0,01,6,07,67.06127450980391,34.093354999999995,-118.20615600000001
767760,1451746800.0,01,6,07,66.84252450980391,34.112911,-118.176901
767768,1451746800.0,01,6,07,67.99019607843137,34.11906,-118.162079
772513,1451746800.0,01,6,07,60.117647058823515,34.068706,-118.23660500000001
767751,1451750400.0,01,6,08,66.45833333333333,34.093354999999995,-118.20615600000001
767760,1451750400.0,01,6,08,67.6985294117647,34.112911,-118.176901
767768,1451750400.0,01,6,08,66.75996732026144,34.11906,-118.162079
772513,1451750400.0,01,6,08,58.761642156862735,34.068706,-118.23660500000001
767751,1451754000.0,01,6,09,66.37132352941175,34.093354999999995,-118.20615600000001
767760,1451754000.0,01,6,09,67.05886437908497,34.112911,-118.176901
767768,1451754000.0,01,6,09,66.17524509803921,34.11906,-118.162079
772513,1451754000.0,01,6,09,57.34865196078431,34.068706,-118.23660500000001
767751,1451757600.0,01,6,10,65.0796568627451,34.093354999999995,-118.20615600000001
767760,1451757600.0,01,6,10,66.64828431372548,34.112911,-118.176901
767768,1451757600.0,01,6,10,65.51286764705883,34.11906,-118.162079
772513,1451757600.0,01,6,10,53.33088235294118,34.068706,-118.23660500000001
767751,1451761200.0,01,6,11,65.8580473856209,34.093354999999995,-118.20615600000001
767760,1451761200.0,01,6,11,65.67687908496733,34.112911,-118.176901
767768,1451761200.0,01,6,11,64.59281045751634,34.11906,-118.162079
772513,1451761200.0,01,6,11,53.376770152505436,34.068706,-118.23660500000001
767751,1451764800.0,01,6,12,65.41081154684095,34.093354999999995,-118.20615600000001
767760,1451764800.0,01,6,12,66.23366013071895,34.112911,-118.176901
767768,1451764800.0,01,6,12,65.11655773420479,34.11906,-118.162079
772513,1451764800.0,01,6,12,51.71840958605663,34.068706,-118.23660500000001
767751,1451768400.0,01,6,13,65.47889433551198,34.093354999999995,-118.20615600000001
767760,1451768400.0,01,6,13,66.35920479302833,34.112911,-118.176901
767768,1451768400.0,01,6,13,64.89651416122004,34.11906,-118.162079
772513,1451768400.0,01,6,13,52.67647058823528,34.068706,-118.23660500000001
767751,1451772000.0,01,6,14,65.0084422657952,34.093354999999995,-118.20615600000001
767760,1451772000.0,01,6,14,65.85751633986928,34.112911,-118.176901
767768,1451772000.0,01,6,14,64.7205882352941,34.11906,-118.162079
772513,1451772000.0,01,6,14,43.474673202614376,34.068706,-118.23660500000001
767751,1451775600.0,01,6,15,64.57461873638343,34.093354999999995,-118.20615600000001
767760,1451775600.0,01,6,15,66.37037037037037,34.112911,-118.176901
