sensor,ts,month,weekdate,hour,speed,lat,lon
718045,1451710800.0,01,5,21,55.38130446623094,34.067125,-118.239732
760650,1451710800.0,01,5,21,47.893586601307184,34.075049,-118.23256200000002
767750,1451710800.0,01,5,21,65.99727668845316,34.093354999999995,-118.206354
767759,1451710800.0,01,5,21,66.88691448801744,34.113103,-118.177099
767767,1451710800.0,01,5,21,67.55548747276687,34.119223999999996,-118.16211200000001
718045,1451714400.0,01,5,22,54.84865196078431,34.067125,-118.239732
760650,1451714400.0,01,5,22,48.59926470588235,34.075049,-118.23256200000002
767750,1451714400.0,01,5,22,67.21323529411764,34.093354999999995,-118.206354
767759,1451714400.0,01,5,22,66.95159313725489,34.113103,-118.177099
767767,1451714400.0,01,5,22,67.90845588235294,34.119223999999996,-118.16211200000001
718045,1451718000.0,01,5,23,54.83088235294117,34.067125,-118.239732
760650,1451718000.0,01,5,23,55.34803921568627,34.075049,-118.23256200000002
767750,1451718000.0,01,5,23,67.40196078431372,34.093354999999995,-118.206354
767759,1451718000.0,01,5,23,67.10714285714285,34.113103,-118.177099
767767,1451718000.0,01,5,23,67.65502450980392,34.119223999999996,-118.16211200000001
718045,1451721600.0,01,6,00,59.70098039215686,34.067125,-118.239732
760650,1451721600.0,01,6,00,57.373774509803916,34.075049,-118.23256200000002
767750,1451721600.0,01,6,00,67.27144607843137,34.093354999999995,-118.206354
767759,1451721600.0,01,6,00,66.85723039215686,34.113103,-118.177099
767767,1451721600.0,01,6,00,67.34926470588233,34.119223999999996,-118.16211200000001
718045,1451725200.0,01,6,01,52.12415577342048,34.067125,-118.239732
760650,1451725200.0,01,6,01,54.585947712418296,34.075049,-118.23256200000002
767750,1451725200.0,01,6,01,67.24843409586056,34.093354999999995,-118.206354
767759,1451725200.0,01,6,01,67.22303921568627,34.113103,-118.177099
767767,1451725200.0,01,6,01,68.65148420479302,34.119223999999996,-118.16211200000001
718045,1451728800.0,01,6,02,55.26518246187363,34.067125,-118.239732
760650,1451728800.0,01,6,02,54.05827886710239,34.075049,-118.23256200000002
767750,1451728800.0,01,6,02,66.47358387799564,34.093354999999995,-118.206354
767759,1451728800.0,01,6,02,67.30657679738562,34.113103,-118.177099
767767,1451728800.0,01,6,02,67.86029411764706,34.119223999999996,-118.16211200000001
718045,1451732400.0,01,6,03,56.04580610021787,34.067125,-118.239732
760650,1451732400.0,01,6,03,57.592436974789905,34.075049,-118.23256200000002
767750,1451732400.0,01,6,03,65.61315359477123,34.093354999999995,-118.206354
767759,1451732400.0,01,6,03,67.9283088235294,34.113103,-118.177099
767767,1451732400.0,01,6,03,67.59558823529412,34.119223999999996,-118.16211200000001
718045,1451736000.0,01,6,04,56.86975334034158,34.067125,-118.239732
760650,1451736000.0,01,6,04,54.69712585889056,34.075049,-118.23256200000002
767750,1451736000.0,01,6,04,66.76146304675716,34.093354999999995,-118.206354
767759,1451736000.0,01,6,04,66.91258169934639,34.113103,-118.177099
767767,1451736000.0,01,6,04,67.82717445952738,34.119223999999996,-118.16211200000001
718045,1451739600.0,01,6,05,55.85076252723311,34.067125,-118.239732
760650,1451739600.0,01,6,05,53.21623093681916,34.075049,-118.23256200000002
767750,1451739600.0,01,6,05,66.82216775599129,34.093354999999995,-118.206354
767759,1451739600.0,01,6,05,68.00851034858387,34.113103,-118.177099
767767,1451739600.0,01,6,05,67.97113289760348,34.119223999999996,-118.16211200000001
718045,1451743200.0,01,6,06,56.17892156862744,34.067125,-118.239732
760650,1451743200.0,01,6,06,51.931372549019606,34.075049,-118.23256200000002
767750,1451743200.0,01,6,06,67.42892156862744,34.093354999999995,-118.206354
767759,1451743200.0,01,6,06,67.89644607843137,34.113103,-118.177099
767767,1451743200.0,01,6,06,67.74142156862744,34.119223999999996,-118.16211200000001
718045,1451746800.0,01,6,07,54.001960784313724,34.067125,-118.239732
760650,1451746800.0,01,6,07,47.39215686274509,34.075049,-118.23256200000002
767750,1451746800.0,01,6,07,67.07475490196077,34.093354999999995,-118.206354
767759,1451746800.0,01,6,07,68.23958333333333,34.113103,-118.177099
767767,1451746800.0,01,6,07,68.42156862745098,34.119223999999996,-118.16211200000001
718045,1451750400.0,01,6,08,56.09375,34.067125,-118.239732
760650,1451750400.0,01,6,08,51.86764705882353,34.075049,-118.23256200000002
767750,1451750400.0,01,6,08,68.51102941176471,34.093354999999995,-118.206354
767759,1451750400.0,01,6,08,67.8155637254902,34.113103,-118.177099
767767,1451750400.0,01,6,08,67.23917483660131,34.119223999999996,-118.16211200000001
718045,1451754000.0,01,6,09,55.65870098039215,34.067125,-118.239732
760650,1451754000.0,01,6,09,52.53737745098038,34.075049,-118.23256200000002
767750,1451754000.0,01,6,09,67.8216911764706,34.093354999999995,-118.206354
767759,1451754000.0,01,6,09,67.71070261437909,34.113103,-118.177099
767767,1451754000.0,01,6,09,68.55147058823529,34.119223999999996,-118.16211200000001
718045,1451757600.0,01,6,10,62.13051470588235,34.067125,-118.239732
760650,1451757600.0,01,6,10,51.00490196078431,34.075049,-118.23256200000002
767750,1451757600.0,01,6,10,67.21446078431372,34.093354999999995,-118.206354
767759,1451757600.0,01,6,10,68.03852124183005,34.113103,-118.177099
767767,1451757600.0,01,6,10,68.55759803921568,34.119223999999996,-118.16211200000001
718045,1451761200.0,01,6,11,57.977532679738566,34.067125,-118.239732
760650,1451761200.0,01,6,11,49.15972222222221,34.075049,-118.23256200000002
767750,1451761200.0,01,6,11,67.7408088235294,34.093354999999995,-118.206354
767759,1451761200.0,01,6,11,67.37785947712418,34.113103,-118.177099
