weekdate,hour,718045,760650,767750,767759,767767
0,0,57.1777820135768,59.48727981153644,65.79785580824021,66.35375910513778,67.5250919117647
0,1,58.35056590856606,60.34311744684324,65.97940123734679,66.61344686138344,67.46285232843137
0,2,59.09708934884933,61.01725477897017,66.15831503901806,66.75594652416441,67.61282460901026
0,3,59.35377817477254,61.10425955838108,66.15697442025991,66.78989523440954,68.08947780501089
0,4,59.26528583214398,61.29341786086358,66.44997763706621,67.10321195223477,67.99528040382819
0,5,59.301397349926766,61.14072301285186,66.53479278124634,67.0511469646338,67.7879561546841
0,6,58.65658670940534,61.0498883045189,67.04163165266105,67.36053143479613,68.15293096405227
0,7,58.68256990844688,60.965392581695966,67.16592995994692,67.65739696463379,68.05056143985371
0,8,58.89620773185033,61.00620605581651,67.19201554728814,67.87557814061296,68.32204545012449
0,9,55.54294122059516,59.86335883275218,67.06461292772269,67.26346928391239,67.90025020424835
0,10,44.005855486658014,56.177216404408924,66.8592052727551,66.98879889675166,68.04744519335512
0,11,40.15297042013111,53.94473103926886,66.34075599048248,67.3423978143889,67.73081937636165
0,12,38.94740044275123,53.900316788363874,66.62692549526302,67.22625740083869,67.29214421879863
0,13,33.97167626040559,51.90109688964292,66.22908804583895,66.74601387552775,67.70094975490196
0,14,34.174406760915645,51.78695244576721,66.42497912242915,67.06503701227966,67.40341605392157
0,15,35.21766509451361,52.64678833620373,66.51033124639306,67.10246696026324,67.42466299019608
0,16,35.34830943149467,51.51058240727817,66.1471943832776,66.56409086782861,66.98572814542483
0,17,38.61305710467162,52.82833382065918,66.07521812586823,65.96188537618275,65.87997004357298
0,18,48.778775662176784,56.657305938546756,66.1053312692077,66.32101396885913,66.3300228077342
0,19,52.75341818822404,57.08430530632616,65.89541649262043,66.5018852323693,66.93585239651416
0,20,52.64618751636117,56.58617658420692,65.51676781020934,66.50510452994114,67.01759940087145
0,21,55.848749018851095,58.391572839177236,65.94261995246441,66.83772845557975,67.21107536764706
0,22,57.451890060709765,59.55728510274332,66.45403955563707,67.1898323218176,67.57987472766885
0,23,58.12166356799858,59.977314650252225,66.43937583029843,67.17261179724414,67.69873536220044
1,0,59.04205296195952,60.2919728248862,66.28853414050805,67.32787649782136,67.67148522603486
1,1,59.770614362461025,61.10673993513394,66.46764856405522,67.48541612632705,67.93224911492375
1,2,60.18899804494935,61.681329678080026,66.62715375443756,67.82727611705349,68.33347766578464
1,3,59.98983694058756,61.65294790279994,66.86983083475555,67.50878176116126,68.29915236928105
1,4,59.35121361509993,61.49299913100924,67.49574303902473,67.58087401508561,67.98354122899158
1,5,56.40845380790233,60.60977404234668,67.8970812647552,68.0650071757098,67.90780909586056
1,6,25.63664028312808,47.706398917352104,67.07576857577074,68.18827922372651,64.21389910130719
1,7,24.472337626651615,33.32338698351968,53.57536503864365,66.27436546053418,52.95798684056955
1,8,23.566386185268808,27.06948065954381,48.967640568809045,67.16124134852075,60.38893733241159
1,9,24.107858942613067,42.45524683135425,63.36453621337811,67.47551857470587,67.56026980236538
1,10,30.578138486762864,49.88208146534903,66.33947165922834,67.49179592015311,67.15285437091502
1,11,44.143607959788255,56.36140517182483,66.70160176249985,67.33208498677249,67.21821725217865
1,12,51.27218344247484,58.187550588463324,66.84975959022178,67.59723627105163,67.56875510620914
1,13,51.76765647595479,57.795910905316546,66.42167887266434,67.33060070633191,67.87535062636165
1,14,46.6038071118424,56.97604637604199,66.14221943406991,66.90873891223157,67.34318355119825
1,15,41.506052774892886,56.819281393112796,66.724114344812,67.19104935362083,67.36442674291939
1,16,31.37255879146378,52.3059911307504,66.73230145156356,66.85727275478092,66.90194035947712
1,17,23.43691534741814,47.409250043632404,66.20757841054399,66.41809867465503,65.79665305010892
1,18,32.91996101912291,51.005993286667014,66.4495588702005,66.71318419711189,66.60807734204792
1,19,53.19624775369592,57.73306494887652,66.50539391420085,67.10608666781053,67.28001361655772
1,20,55.92470079260736,58.31235249263523,66.02606763324987,67.08521101341772,67.2967987472767
1,21,55.68282522243019,58.49487421393058,66.33140890615506,67.24006861232145,67.65384667755991
1,22,56.7422869721964,59.50428810017154,66.79581212920765,67.39108963801569,68.052072342826
1,23,58.450072849583336,60.2717319497996,66.57511390994193,66.97152417339485,67.95475217864923
2,0,59.55527567652526,61.114354226489226,66.35082627144753,67.02188161255214,67.86917381535947
2,1,59.98803118022249,61.425763878999895,66.19808983132931,67.26220462103896,68.05024680010892
2,2,59.962799741525,61.54444943281801,66.55950639011076,67.48925806628013,68.42014156356987
2,3,59.715419808865946,61.53170347089088,66.74430650497544,67.28368991238801,68.42609783496731
2,4,58.995036778784936,61.073231908682246,67.46457537734224,67.63043694139066,68.56234632741985
2,5,55.83582735390697,60.56744198640482,67.95166863866555,68.2081665912893,67.85244757625273
2,6,22.506093812955307,45.9321748251068,66.90567376149177,68.35913861105254,65.51239617374728
2,7,21.551181996516547,29.21722043831083,50.54085095205039,66.21404684303903,52.82384701797385
2,8,19.718682694172728,20.483019778480944,43.97010380864,66.61630555087226,51.053731962481955
2,9,19.060130488675657,36.54535930470672,58.56465456346205,65.33947020001452,58.426347440685674
2,10,22.53802947406981,45.22733489410318,65.65835469466006,66.24104357614365,66.31977221444133
2,11,30.55336739567623,50.04121842243255,66.0853648002195,66.36209243658182,67.30763752723311
2,12,40.170885602551046,53.857031236106735,65.9316287323334,66.46092339713663,67.59025871459696
2,13,46.02398499770925,55.7620527141438,65.66976097276518,66.3315774234795,67.35415129940864
2,14,42.761086091060335,55.996090982254906,66.06927812095819,66.42112308486148,67.2381086601307
