sensor1,sensor2,networkDist,calcDist,diff
716047,716050,0.28159921061003734,0.28166026551635476,6.105490631741484e-05
737246,737257,0.4954316789946711,0.4952308682362496,0.000200810758421488
717022,718415,0.23554939155332852,0.2352608859580804,0.000288505595248123
717014,717016,0.19522861488904794,0.19517506309869845,5.355179034949309e-05
717032,717035,0.6775742165752008,0.6764156412274605,0.0011585753477403316
717046,759385,4.31279452994512,0.25566316892243884,4.057131361022681
718335,717046,0.22540239998409287,0.2253332321301428,6.916785395005842e-05
764054,718410,5.699241430048517,0.38984038406748556,5.309401045981031
759385,764026,3.6479397816750176,0.09048574761188051,3.557454034063137
737184,717042,0.14891781993159944,0.14896217913342555,4.43592018261052e-05
737229,737237,0.46451846218086373,0.4630444556448647,0.0014740065359990506
764026,759280,0.4488847629841724,0.44746233901057575,0.0014224239735966537
717008,717009,0.3528145629523582,0.35242660284345456,0.00038796010890362886
717016,717020,0.18241594090511412,0.18243484375987967,1.8902854765551202e-05
717039,737184,0.5078093931440387,0.5078556992098108,4.630606577205043e-05
763346,716057,5.149955509822635,0.15161483017480312,4.998340679647832
763646,759257,0.3670563906784379,0.36710172647401623,4.533579557830514e-05
718415,764249,0.3826714487393621,0.3822448967930601,0.00042655194630197846
764125,764130,4.405242135926191,0.03118587687218013,4.374056259054011
717011,716036,0.2858680307007078,0.2858575914001162,1.0439300591635892e-05
716050,717032,0.5075297761075319,0.5076421744959703,0.0001123983884383506
716057,717039,0.3270400858983536,0.3272441950108446,0.00020410911249102437
763963,717028,0.16022056191839656,0.16024936319178545,2.8801273388889825e-05
764130,718412,0.4434415513401733,0.4434721058042587,3.055446408539719e-05
764249,763963,0.2027472063151197,0.20278582573705228,3.8619421932589715e-05
759280,718419,0.10605563509106816,0.10547615445817793,0.0005794806328902335
737278,764054,0.5827405452159389,0.5817135735906099,0.001026971625328943
717028,716047,0.23881159031257454,0.2388586317395097,4.7041426935151565e-05
718410,764125,0.08544475264455578,0.08550634781129487,6.159516673909238e-05
717042,718335,0.3401137357830271,0.34011050386204744,3.2319209796738413e-06
768584,717011,0.2215747534399109,0.22120743292988262,0.00036732051002827393
759163,763646,0.36647230175773476,0.35996883092829224,0.006503470829442526
737237,737246,4.524719388769586,0.33163374345690483,4.193085645312681
718412,763336,0.3321042611150879,0.33208557582791826,1.8685287169639686e-05
737257,765506,0.4773249224528751,0.47322171005579405,0.0041032123970810574
718419,763453,0.617810735305814,0.6174241560048875,0.00038657930092644843
717020,717022,0.3152837429412232,0.31535823724140366,7.44943001804721e-05
717035,763346,0.20909761989978523,0.20922687148981675,0.00012925159003152054
716036,717014,0.5029937664041995,0.49260094123202636,0.010392825172173104
717009,768584,0.6803828143641135,0.6731351333523684,0.007247681011745111
759257,737229,0.2987987652111668,0.2984665061444296,0.00033225906673717276
763336,717008,0.3260086097192396,0.3234057278530884,0.0026028818661512076
765506,737278,0.19485579217370552,0.19494108190049303,8.528972678750746e-05
