201201,18
201202,22
201203,10
201204,13
201205,17
201206,3
201207,1
201208,1
201209,1
201210,4
201211,8
201212,12
201301,3
201302,6
201303,2
201304,1
201305,3
201306,4
201307,1
201308,1
201309,1
201310,2
201311,15
201312,11
201401,2
201402,7
201403,1
201404,1
201405,3
201406,1
201407,5
201408,3
201409,1
201410,6
201411,25
201412,30
201501,11
201502,15
201503,16
201504,1
201505,8
201506,6
201507,12
201508,4
201509,14
201510,12
201511,41
201512,22
201601,8
201602,10
201603,8
201604,9
201605,4
201606,2
201607,4
201608,7
201609,6
201610,27
201611,27
201612,19
