sensor,lat,lon
763522,33.810188000000004,-118.28729399999999
716494,33.919503000000006,-118.28379
760635,34.045574,-118.27049
763424,33.997662,-118.28041499999999
716500,33.951033,-118.28016000000001
718165,34.036778999999996,-118.274097
763275,33.968872,-118.280946
763720,33.933279999999996,-118.280134
774671,34.041891,-118.273335
716484,33.881339000000004,-118.28463300000001
772501,34.057348,-118.254534
716499,33.95106,-118.27998600000001
763372,33.932235999999996,-118.28026200000001
771673,34.077871,-118.228706
763439,34.018935,-118.279358
766336,33.854757,-118.284746
763400,33.961288,-118.28066499999998
718166,34.036846000000004,-118.27426899999999
767767,34.119223999999996,-118.16211200000001
759418,33.92562,-118.28121200000001
773013,34.083739,-118.22076299999999
763259,33.987852000000004,-118.28058
763512,33.792365000000004,-118.28278999999999
763447,34.019033,-118.279551
763367,33.915625,-118.28600800000001
718164,33.987904,-118.280332
763498,33.758221,-118.28981399999999
766337,33.854735999999995,-118.284976
763663,33.871359999999996,-118.28483500000002
763354,33.862914,-118.285049
763309,33.915185,-118.286369
771667,34.073135,-118.233877
763621,33.890895,-118.285693
763361,33.903314,-118.286493
763429,34.005218,-118.280837
763377,33.932263,-118.28046
775610,34.064095,-118.24719099999999
774704,33.923413000000004,-118.281057
763267,33.981504,-118.28079
763314,33.900236,-118.286746
763507,33.78087,-118.280346
774703,33.923412,-118.28151799999999
764037,34.027654,-118.274608
774685,34.045663,-118.270046
763408,33.976887,-118.280676
716485,33.881284,-118.285123
763419,33.983593,-118.280401
716490,33.909286,-118.28649899999999
767760,34.112911,-118.176901
763384,33.946746000000005,-118.279421
766988,33.875591,-118.28508000000001
763246,34.016071999999994,-118.280774
718046,34.06702,-118.239668
763286,33.961279,-118.28092
773012,34.083904,-118.22086200000001
775637,34.032765000000005,-118.274823
763626,33.892965000000004,-118.28555300000001
760643,34.048503000000004,-118.265731
716495,33.919359,-118.28356799999999
767750,34.093354999999995,-118.206354
775636,34.032765000000005,-118.274658
763251,34.002346,-118.281281
767751,34.093354999999995,-118.20615600000001
774658,34.048365999999994,-118.265565
763294,33.95864,-118.28090800000001
767768,34.11906,-118.162079
716481,33.867666,-118.28501899999999
718045,34.067125,-118.239732
760650,34.075049,-118.23256200000002
763392,33.958628999999995,-118.28068600000002
763434,34.010246,-118.28078700000002
763502,33.772726,-118.27973
763527,33.829478,-118.28729399999999
764032,34.0276,-118.274377
718173,34.056528,-118.255684
763517,33.807466,-118.28784399999999
763299,33.930159,-118.280708
767759,34.113103,-118.177099
716491,33.909285,-118.28671999999999
763304,33.93016,-118.280501
772669,34.078284000000004,-118.22834399999999
759416,33.926133,-118.28118700000002
763532,33.845778,-118.28501200000001
718041,34.009414,-118.281181
772513,34.068706,-118.23660500000001
774672,34.041837,-118.273169
