weekdate,hour,minute,716714,772437,717790,717787,768643,718292,769496,718291,771969,717779,764583,717769,717763,717765,716689,717777,761455,717776,769228,716694,761492,761482,759427,717760,717758,717755,717752,717750,718267,718266,716670,717744,717742,717740,716663,718259,766505,716659,717735,771939,717733,718251,771915,717729,771898,717727,771877,717723
0,0,0,67.57819219,68.05688518,68.29175314,68.03178775,67.43509299,68.46858395,70,69.52665441,67.62914433,65.58117556,67.29260365,68.6609592,68.41760277,67.43117691,66.45461248,67.5897889,68.63487077,68.11232983,66.10544549,64.09856116,63.83226021,64.3648621,68.44501863,68.16482407,68.82262143,68.68370631,68.34737605,68.08461101,67.96149106,67.59644632,67.95755395,67.23140158,67.21737905,67.47163029,66.50970031,70,70,67.51867976,67.51867976,67.52456804,70,70,67.60072168,68.00205484,68.403388,68.95195528,69.21603849,68.29201875
0,0,10,67.69787248,68.30254315,68.41779412,67.99965004,67.67026593,68.85559654,70,68.97352941,68.1542536,65.47693128,67.07873483,68.64356076,68.29147331,67.7683984,66.97160948,67.71298229,68.19757006,67.95527618,66.83909639,65.7229166,65.23064969,66.21518351,68.63202468,68.10119319,68.62982955,68.42781178,68.02141249,68.03157068,68.02911776,67.65963936,67.85898637,67.29016095,67.19712636,67.55063579,66.66429631,70,70,67.87084754,67.87084754,67.90152032,70,70,67.03556839,67.79131361,68.54705882,69.12840414,69.31079165,68.32981712
0,0,20,67.67224973,68.10769515,68.31753365,67.71555224,67.43388379,68.77105114,70,69.66323529,67.96530357,65.74793482,67.15519608,68.46654829,68.34599492,67.69355451,66.6163383,67.75416968,68.2755917,68.01488069,66.7406679,65.46645511,65.01215544,65.92075478,68.52716357,68.08392792,68.73138555,68.57512559,68.13223376,68.1124418,68.23902505,67.80002279,67.96807306,67.36102053,67.37061559,67.7421976,66.59406834,70,70,67.41528234,67.41528234,67.4953033,70,70,67.4189134,68.09628779,68.77366217,69.26173089,69.33566356,68.45064432
0,0,30,67.47100674,67.99289987,67.98526522,67.63741314,67.5985708,68.82486244,70,68.31976339,68.45824869,65.98613251,67.27459072,68.76758048,68.39698542,67.51493201,66.30216032,67.25529186,68.07649287,67.66589237,66.59344115,65.52098994,64.84415165,66.19782823,68.63119477,67.82831055,68.35630013,68.49717072,68.17119839,68.18714008,68.08514628,67.47246229,67.67847451,66.8597783,67.28239328,67.69819245,66.80541562,70,70,67.88074204,67.88074204,67.96402565,70,70,67.80265523,68.32917177,68.85568832,69.23745855,69.31446363,68.4536235
0,0,40,67.83391881,68.10606461,68.34866752,67.67793552,67.54431345,68.93393911,70,69.21875,68.19417258,65.99715414,67.21681873,68.65844111,68.14752282,67.14502468,66.19322053,67.70362075,68.36578831,68.03470453,66.83765336,65.64060218,64.9492505,66.33195387,68.66355188,68.0520617,68.49592542,68.37061006,67.89513521,67.7938446,67.79561473,67.24609615,67.53359381,66.69657756,67.28822708,67.46151091,66.2703292,70,70,67.63432138,67.63432138,67.36082749,70,70,67.19223856,67.85931985,68.52640114,68.87955421,69.08793049,67.98753352
0,0,50,67.68621365,68.16123994,68.33800517,67.9369281,67.72232806,68.92975714,70,69.85,68.2794019,66.06031454,67.04308357,68.44667784,68.19740697,67.62428589,66.26484414,67.84304106,68.44128045,68.14216076,66.77684138,65.411522,64.85287369,65.97017031,68.3912392,67.79251906,68.23212455,68.35080989,67.78786054,67.91819853,67.98373473,67.19724264,67.38078022,66.41075055,66.96059641,67.38843421,66.16044823,70,70,67.18394684,67.18394684,67.2858348,70,70,67.12986111,67.70640961,68.2829581,68.87136588,69.05402886,68.17420904
0,1,0,67.92928922,68.26865468,68.28804739,67.71973171,67.56875999,68.91542691,70,68.50297619,68.17308965,66.56555171,67.38237937,68.28922845,67.96447935,67.22766733,66.73914216,68.40516612,68.93765574,68.67141093,67.07620467,65.4809984,65.1255589,65.83643791,68.31523542,67.64970291,68.24859069,68.1426364,67.60102835,67.82625915,67.74354724,67.1054749,67.30501948,66.46740256,66.75553471,67.23713045,66.14698344,70,70,67.45020856,67.45020856,67.44087708,70,70,67.35080532,67.97762386,68.6044424,69.14873246,69.27112332,68.42367007
0,1,10,67.6993289,67.88722662,67.97952887,67.70690615,67.63700944,68.83137099,70,68.16617063,67.73375451,66.57723992,67.28339402,68.15623916,67.76104666,67.13791871,66.29966378,68.29668496,68.58698169,68.44183333,66.76642986,65.09102639,64.81979788,65.3622549,68.22181081,67.56278131,68.19078469,68.08364237,67.58348109,67.65710892,67.56335784,67.120883,67.38102526,66.67840815,66.57216768,67.20383749,66.13608408,70,70,67.35304926,67.35304926,67.45396572,70,70,66.86978032,67.7437188,68.61765727,69.1248565,69.20515334,68.49107487
0,1,20,67.81089114,68.14368401,68.20868192,67.48064947,67.42637482,68.81963833,70,69.70969013,68.15381603,66.6310866,67.29981793,68.14329649,67.77378903,66.70242326,66.09705568,68.08971115,68.27667236,68.18319176,66.75394303,65.32469431,64.73610934,65.91327929,67.61390785,67.44365809,67.85793783,67.86691709,67.59839035,67.76924772,67.71000155,67.34596758,67.42442535,66.98193361,66.73500329,67.16050444,66.19436036,70,70,66.85601277,66.85601277,67.14664043,70,70,67.11745643,67.77477484,68.43209325,69.02927261,69.21284894,68.38494441
