day	hour	minute	value
2	22	30	35.8
2	22	40	35.8
2	22	50	35.6
2	23	0	35.4
2	23	10	35.4
2	23	20	35.5
2	23	30	35.7
2	23	40	35.4
2	23	50	35.4
3	0	0	35.3
3	0	10	35.4
3	0	20	35.4
3	0	30	35.4
3	0	40	35.4
3	0	50	35.4
3	1	0	35.7
3	1	10	35.8
3	1	20	35.7
3	1	30	35.7
3	1	40	35.5
3	1	50	35.9
3	2	0	35.8
3	2	10	35.7
3	2	20	35.7
3	2	30	35.9
3	2	40	36.0
3	2	50	36.1
3	3	0	36.2
3	3	10	36.6
3	3	20	36.5
3	3	30	36.3
3	3	40	36.4
3	3	50	36.2
3	4	0	36.3
3	4	10	36.6
3	4	20	36.6
3	4	30	36.3
3	4	40	36.2
3	4	50	36.2
3	5	0	36.4
3	5	10	36.5
3	5	20	36.6
3	5	30	37.4
3	5	40	38.1
3	5	50	39.2
3	6	0	40.5
3	6	10	42.7
3	6	20	46.9
3	6	30	52.2
3	6	40	56.8
3	6	50	57.8
3	7	0	60.7
3	7	10	64.9
3	7	20	69.4
3	7	30	74.9
3	7	40	77.4
3	7	50	69.8
3	8	0	66.4
3	8	10	75.1
3	8	20	73.4
3	8	30	76.3
3	8	40	78.8
3	8	50	75.2
3	9	0	75.4
3	9	10	78.4
3	9	20	75.2
3	9	30	72.3
3	9	40	72.1
3	9	50	66.9
3	10	0	63.4
3	10	10	56.8
3	10	20	54.8
3	10	30	54.6
3	10	40	54.7
3	10	50	52.6
3	11	0	49.0
3	11	10	48.5
3	11	20	45.6
3	11	30	45.3
3	11	40	45.3
3	11	50	45.6
3	12	0	45.2
3	12	10	44.5
3	12	20	43.4
3	12	30	44.2
3	12	40	44.4
3	12	50	44.2
3	13	0	42.6
3	13	10	42.1
3	13	20	41.2
3	13	30	42.1
3	13	40	41.6
3	13	50	42.6
3	14	0	41.2
3	14	10	41.2
3	14	20	41.6
3	14	30	41.9
3	14	40	42.3
3	14	50	42.2
3	15	0	41.2
3	15	10	40.7
3	15	20	40.7
3	15	30	40.5
3	15	40	40.5
3	15	50	40.2
3	16	0	39.3
3	16	10	38.6
3	16	20	38.9
3	16	30	39.2
3	16	40	39.8
3	16	50	40.0
3	17	0	40.5
3	17	10	40.7
3	17	20	41.1
3	17	30	42.4
3	17	40	43.9
3	17	50	44.8
3	18	0	44.5
3	18	10	44.2
3	18	20	44.8
3	18	30	44.9
3	18	40	45.7
3	18	50	45.7
3	19	0	44.0
3	19	10	42.1
3	19	20	40.5
3	19	30	39.3
3	19	40	37.7
3	19	50	36.8
3	20	0	36.2
3	20	10	36.4
3	20	20	36.1
3	20	30	36.1
3	20	40	36.0
3	20	50	36.0
3	21	0	35.9
3	21	10	35.9
3	21	20	36.0
3	21	30	36.0
3	21	40	36.0
3	21	50	35.8
3	22	0	35.7
3	22	10	35.9
3	22	20	35.9
3	22	30	35.8
3	22	40	35.8
3	22	50	35.7
3	23	0	35.6
3	23	10	35.7
3	23	20	35.6
3	23	30	35.6
3	23	40	35.6
3	23	50	35.5
4	0	0	35.5
4	0	10	35.4
4	0	20	35.5
4	0	30	35.5
4	0	40	35.6
4	0	50	35.6
4	1	0	35.6
4	1	10	35.8
4	1	20	35.7
4	1	30	35.8
4	1	40	35.8
4	1	50	35.8
4	2	0	35.6
4	2	10	35.7
4	2	20	35.9
4	2	30	36.2
4	2	40	36.1
4	2	50	36.3
4	3	0	36.2
4	3	10	36.4
4	3	20	36.5
4	3	30	36.4
4	3	40	36.7
4	3	50	36.4
4	4	0	36.6
4	4	10	36.6
4	4	20	36.4
4	4	30	36.4
4	4	40	36.2
4	4	50	36.3
4	5	0	36.4
4	5	10	36.5
4	5	20	36.6
4	5	30	37.1
4	5	40	38.0
4	5	50	39.8
4	6	0	41.0
4	6	10	43.0
4	6	20	47.5
4	6	30	55.5
4	6	40	59.5
4	6	50	63.8
4	7	0	64.1
4	7	10	67.0
4	7	20	71.1
4	7	30	74.0
4	7	40	73.2
4	7	50	74.9
4	8	0	72.2
4	8	10	72.6
4	8	20	76.7
4	8	30	75.5
4	8	40	72.2
4	8	50	72.8
4	9	0	73.9
4	9	10	72.3
4	9	20	71.3
4	9	30	71.6
4	9	40	66.2
4	9	50	62.2
4	10	0	59.3
4	10	10	54.0
4	10	20	53.5
4	10	30	51.3
4	10	40	50.0
4	10	50	47.2
4	11	0	46.7
4	11	10	46.0
4	11	20	44.2
4	11	30	44.3
4	11	40	45.1
4	11	50	44.6
4	12	0	43.7
4	12	10	43.8
4	12	20	43.7
4	12	30	45.0
4	12	40	44.3
4	12	50	44.2
4	13	0	42.9
4	13	10	42.9
4	13	20	42.8
4	13	30	43.2
4	13	40	42.5
4	13	50	44.9
4	14	0	44.1
4	14	10	43.6
4	14	20	42.9
4	14	30	43.3
4	14	40	43.9
4	14	50	44.1
4	15	0	43.5
4	15	10	42.9
4	15	20	42.0
4	15	30	42.1
4	15	40	42.5
4	15	50	42.2
4	16	0	40.3
4	16	10	40.4
4	16	20	40.4
4	16	30	40.5
4	16	40	40.2
4	16	50	41.2
4	17	0	41.4
4	17	10	41.5
4	17	20	42.7
4	17	30	44.5
4	17	40	45.2
4	17	50	45.8
4	18	0	45.2
4	18	10	45.4
4	18	20	45.9
4	18	30	45.6
4	18	40	45.4
4	18	50	44.7
4	19	0	43.7
4	19	10	43.3
4	19	20	42.6
4	19	30	40.2
4	19	40	38.6
4	19	50	38.2
4	20	0	37.4
4	20	10	36.9
4	20	20	36.8
4	20	30	36.5
4	20	40	36.2
4	20	50	36.0
4	21	0	36.0
4	21	10	36.0
4	21	20	36.1
4	21	30	36.0
4	21	40	36.0
4	21	50	35.9
4	22	0	35.9
4	22	10	35.8
4	22	20	36.0
4	22	30	36.1
4	22	40	36.1
4	22	50	36.0
4	23	0	35.9
4	23	10	35.8
4	23	20	35.9
4	23	30	35.5
4	23	40	35.8
4	23	50	35.5
5	0	0	35.4
5	0	10	35.5
5	0	20	35.4
5	0	30	35.5
