sensor,lat,lon
764583,33.966144,-118.370621
717779,33.971841,-118.37776399999998
718249,33.825188,-118.22416499999999
764671,33.990834,-118.401692
717696,33.790729,-118.099304
761455,33.918034999999996,-118.369768
717753,33.876739,-118.34513000000001
717719,33.814706,-118.18269099999999
764754,34.142292,-118.471558
761482,33.943746000000004,-118.36829399999999
717706,33.805328,-118.141043
717750,33.874083,-118.342941
717772,33.958625,-118.369444
718292,33.990485,-118.401142
765153,33.947331,-118.36864399999999
718227,33.802915999999996,-118.13399199999999
716670,33.862123,-118.31795100000001
771925,33.834927,-118.259193
718302,34.054368,-118.451073
716632,33.807185,-118.15123200000001
765273,34.18949,-118.47437099999999
769228,33.958678000000006,-118.369156
775225,34.147962,-118.469376
761541,33.912963,-118.370525
716720,34.04201,-118.442242
717788,34.003541999999996,-118.411732
718253,33.830384,-118.254737
718262,33.860032000000004,-118.31137700000001
772437,34.013171,-118.41899099999999
718247,33.825314,-118.215649
717729,33.825540000000004,-118.226767
771825,33.788235,-118.096313
718251,33.82593,-118.23921000000001
764572,33.963039,-118.36988000000001
717731,33.825747,-118.23920700000001
717697,33.790526,-118.09943200000001
769248,33.857946000000005,-118.286997
775137,34.088887,-118.47518799999999
717752,33.876829,-118.34488
768968,34.030899,-118.43323899999999
717735,33.840182,-118.26406499999999
717713,33.813355,-118.16668999999999
775155,34.050270000000005,-118.448756
717769,33.912098,-118.37033500000001
717733,33.831974,-118.256003
761526,33.859747,-118.29714399999999
771914,33.825798999999996,-118.235031
718275,33.885526,-118.353945
766493,33.845428000000005,-118.26973000000001
717798,34.056074,-118.45226299999999
775261,34.063342,-118.45817
716739,34.142185999999995,-118.47126399999999
765265,34.185288,-118.47395
717723,33.824645000000004,-118.201233
767053,34.170913,-118.467753
772455,34.021282,-118.42543400000001
775121,34.120577000000004,-118.48038999999999
718259,33.853010999999995,-118.279909
764567,33.987109000000004,-118.398747
717746,33.861934999999995,-118.318031
717755,33.883688,-118.35103799999999
717710,33.807002000000004,-118.15123200000001
717794,34.035703999999996,-118.43793799999999
769496,33.989602000000005,-118.40036699999999
772454,34.021198,-118.425665
717790,34.011157,-118.417479
761492,33.946605,-118.36831000000001
718243,33.815033,-118.184404
717804,34.094782,-118.476047
771826,33.788373,-118.096116
717703,33.80288,-118.12631499999999
768969,34.030845,-118.433107
771846,33.808341,-118.15594899999999
718226,33.80268,-118.128266
718291,33.981743,-118.39423000000001
775249,34.067147999999996,-118.461823
718221,33.801423,-118.114029
718235,33.81152,-118.16165500000001
775165,34.033305,-118.436552
717699,33.795142,-118.105627
716738,34.139113,-118.471263
718304,34.057207,-118.453429
717809,34.148059,-118.46973999999999
761500,33.998015,-118.407366
771863,33.821584,-118.195118
718479,33.889598,-118.359626
717760,33.892441,-118.36323999999999
759427,33.935638,-118.36828200000001
717751,33.873978,-118.34311299999999
716626,33.802726,-118.133982
717799,34.067221999999994,-118.46160800000001
717777,33.96351,-118.36979299999999
718223,33.802637,-118.122925
717721,33.820130999999996,-118.19254699999999
775136,34.088885999999995,-118.475452
718256,33.840051,-118.26423700000001
718312,34.095819,-118.476688
717765,33.902885,-118.370294
771969,33.977221,-118.388236
717740,33.859482,-118.29034399999999
716659,33.845618,-118.26946799999999
766505,33.846278999999996,-118.270227
717801,34.077251000000004,-118.469907
717776,33.961187,-118.369262
717763,33.900108,-118.370328
717742,33.859916,-118.29916100000001
759422,33.91578,-118.370351
718265,33.864956,-118.328078
718258,33.852856,-118.28006200000002
718232,33.806129,-118.14518100000001
718277,33.892034,-118.36296399999999
717766,33.907652,-118.37051799999999
717720,33.817453,-118.18908400000001
718300,34.046595,-118.44643300000001
717807,34.139113,-118.471043
771898,33.825331,-118.221038
