sensor,lat,lon
769346,34.15677,-118.404242
717491,34.147609,-118.371101
717480,34.104777,-118.32497
717466,34.093587,-118.309178
764772,34.055284,-118.239534
717468,34.096990999999996,-118.31381200000001
773062,34.05368,-118.233691
773024,34.057590000000005,-118.243573
769373,34.102621,-118.317467
769372,34.102703999999996,-118.317302
764794,34.160277,-118.468078
717499,34.156659999999995,-118.44807800000001
716339,34.078212,-118.28795
772597,34.171093,-118.50494599999999
717490,34.147453000000006,-118.371241
717459,34.082938,-118.29728899999999
760024,34.159304999999996,-118.46483
717450,34.07488,-118.273625
717504,34.165185,-118.49165500000001
717495,34.156641,-118.41326299999999
717473,34.100537,-118.315807
764781,34.160369,-118.47012
717447,34.072484,-118.267725
717452,34.075024,-118.273563
769403,34.120726,-118.339276
769431,34.158425,-118.45664199999999
769345,34.15655,-118.40440600000001
769418,34.126591,-118.34465300000001
772178,34.169222999999995,-118.49868700000002
717510,34.171278,-118.51975900000001
772140,34.164977,-118.474926
769430,34.158178,-118.456575
717458,34.08265,-118.297554
717446,34.071421,-118.26572
768469,34.135834,-118.359925
764766,34.133379999999995,-118.353504
769389,34.11038,-118.33418
765099,34.163778,-118.472242
717461,34.085583,-118.30173799999999
717483,34.116842,-118.33698100000001
765182,34.064910999999995,-118.251255
717493,34.154340999999995,-118.396181
765164,34.078978,-118.28910900000001
764853,34.064609999999995,-118.251023
717453,34.07696,-118.280932
773023,34.057728000000004,-118.243475
717486,34.129743,-118.34808999999998
772151,34.168976,-118.498718
717463,34.09004,-118.305898
769405,34.126343,-118.34481699999999
717511,34.171960999999996,-118.53228200000001
764949,34.128809999999994,-118.34684299999999
717445,34.06913,-118.25932
717489,34.138760999999995,-118.36438400000002
717479,34.104274,-118.323233
769402,34.120946,-118.33911200000001
760013,34.155526,-118.430485
717462,34.089935,-118.306069
768066,34.151177000000004,-118.374798
716337,34.077323,-118.281856
717469,34.097096,-118.31365600000001
769358,34.156791,-118.422224
717465,34.09373,-118.309069
716331,34.07006,-118.26246499999999
717456,34.08102,-118.293249
769467,34.154514,-118.396992
769443,34.155741,-118.439307
764858,34.152698,-118.375399
772168,34.165425,-118.479854
717502,34.165205,-118.47483600000001
717498,34.15571,-118.43272900000001
717513,34.173386,-118.536798
717472,34.100454,-118.316005
717492,34.15459,-118.379347
718141,34.15133,-118.37456399999999
769359,34.156599,-118.42215700000001
772596,34.171258,-118.504947
764760,34.134005,-118.355056
717497,34.156849,-118.41455500000001
769444,34.15555,-118.439075
768477,34.154158,-118.37943899999999
717488,34.135614000000004,-118.360056
716359,34.138959,-118.364326
717481,34.106344,-118.32826000000001
717484,34.11826,-118.33770700000001
717460,34.085714,-118.30161399999999
717501,34.157319,-118.449459
765176,34.132864,-118.351354
716328,34.066637,-118.25396699999999
772167,34.165259999999996,-118.479853
717508,34.171122,-118.518142
769388,34.11027,-118.33441
