day	hour	minute	value
3	5	10	39.0
3	5	20	38.7
3	5	30	38.6
3	5	40	38.4
3	5	50	38.4
3	6	0	38.5
3	6	10	38.5
3	6	20	38.4
3	6	30	38.4
3	6	40	39.0
3	6	50	40.0
3	7	0	41.5
3	7	10	44.2
3	7	20	48.8
3	7	30	54.9
3	7	40	60.1
3	7	50	61.6
3	8	0	61.6
3	8	10	67.9
3	8	20	68.0
3	8	30	68.9
3	8	40	67.5
3	8	50	64.8
3	9	0	60.0
3	9	10	56.0
3	9	20	55.2
3	9	30	54.0
3	9	40	52.8
3	9	50	51.3
3	10	0	47.1
3	10	10	43.6
3	10	20	43.4
3	10	30	43.2
3	10	40	42.5
3	10	50	42.0
3	11	0	42.1
3	11	10	41.7
3	11	20	42.3
3	11	30	42.4
3	11	40	42.5
3	11	50	42.2
3	12	0	42.1
3	12	10	42.5
3	12	20	44.2
3	12	30	45.4
3	12	40	46.6
3	12	50	47.5
3	13	0	47.5
3	13	10	50.1
3	13	20	52.9
3	13	30	56.6
3	13	40	58.4
3	13	50	59.0
3	14	0	62.0
3	14	10	64.8
3	14	20	71.5
3	14	30	75.5
3	14	40	79.7
3	14	50	79.9
3	15	0	78.3
3	15	10	80.9
3	15	20	84.9
3	15	30	91.5
3	15	40	95.0
3	15	50	95.9
3	16	0	96.1
3	16	10	100.0
3	16	20	103.7
3	16	30	102.5
3	16	40	105.5
3	16	50	100.5
3	17	0	95.5
3	17	10	100.6
3	17	20	105.7
3	17	30	105.3
3	17	40	107.5
3	17	50	108.1
3	18	0	104.2
3	18	10	103.2
3	18	20	102.9
3	18	30	103.7
3	18	40	95.9
3	18	50	89.1
3	19	0	81.0
3	19	10	78.1
3	19	20	75.9
3	19	30	73.0
3	19	40	69.7
3	19	50	65.3
3	20	0	62.7
3	20	10	58.7
3	20	20	56.9
3	20	30	51.7
3	20	40	46.3
3	20	50	42.7
3	21	0	41.4
3	21	10	40.7
3	21	20	41.0
3	21	30	40.4
3	21	40	40.0
3	21	50	39.5
3	22	0	38.9
3	22	10	39.3
3	22	20	39.4
3	22	30	38.9
3	22	40	38.9
3	22	50	38.4
3	23	0	38.4
3	23	10	38.2
3	23	20	38.1
3	23	30	38.2
3	23	40	38.0
3	23	50	38.0
4	0	0	37.8
4	0	10	37.7
4	0	20	37.9
4	0	30	37.9
4	0	40	38.1
4	0	50	38.1
4	1	0	37.9
4	1	10	38.1
4	1	20	38.2
4	1	30	38.2
4	1	40	38.2
4	1	50	38.3
4	2	0	38.4
4	2	10	38.1
4	2	20	38.4
4	2	30	38.5
4	2	40	38.7
4	2	50	38.7
4	3	0	38.6
4	3	10	38.7
4	3	20	38.8
4	3	30	38.8
4	3	40	39.1
4	3	50	38.9
4	4	0	39.4
4	4	10	38.9
4	4	20	39.2
4	4	30	39.4
4	4	40	39.0
4	4	50	39.1
4	5	0	39.2
4	5	10	38.8
4	5	20	38.7
4	5	30	38.8
4	5	40	38.5
4	5	50	38.8
4	6	0	38.6
4	6	10	38.7
4	6	20	38.7
4	6	30	38.5
4	6	40	38.9
4	6	50	40.0
4	7	0	41.1
4	7	10	44.3
4	7	20	48.7
4	7	30	52.4
4	7	40	56.1
4	7	50	58.1
4	8	0	59.7
4	8	10	61.8
4	8	20	64.5
4	8	30	66.8
4	8	40	65.5
4	8	50	65.0
4	9	0	60.0
4	9	10	55.1
4	9	20	52.7
4	9	30	53.3
4	9	40	51.1
4	9	50	48.9
4	10	0	46.7
4	10	10	44.7
4	10	20	42.9
4	10	30	42.0
4	10	40	41.7
4	10	50	41.1
4	11	0	41.1
4	11	10	41.5
4	11	20	41.9
4	11	30	42.2
4	11	40	42.4
4	11	50	42.4
4	12	0	43.1
4	12	10	43.5
4	12	20	44.3
4	12	30	45.8
4	12	40	46.9
4	12	50	48.4
4	13	0	50.0
4	13	10	51.7
4	13	20	56.7
4	13	30	59.5
4	13	40	62.5
4	13	50	63.9
4	14	0	65.9
4	14	10	70.8
4	14	20	76.4
4	14	30	79.3
4	14	40	83.4
4	14	50	83.1
4	15	0	83.6
4	15	10	87.5
4	15	20	92.2
4	15	30	94.4
4	15	40	96.3
4	15	50	94.7
4	16	0	98.9
4	16	10	103.4
4	16	20	99.1
4	16	30	97.5
4	16	40	97.7
4	16	50	96.2
4	17	0	98.5
4	17	10	99.6
4	17	20	101.4
4	17	30	102.3
4	17	40	104.3
4	17	50	100.4
4	18	0	99.1
4	18	10	99.2
4	18	20	98.7
4	18	30	95.9
4	18	40	92.1
4	18	50	88.3
4	19	0	83.3
4	19	10	77.8
4	19	20	74.4
4	19	30	72.6
4	19	40	70.5
4	19	50	67.9
4	20	0	65.3
4	20	10	63.1
4	20	20	60.0
4	20	30	55.5
4	20	40	51.2
4	20	50	47.7
4	21	0	45.0
4	21	10	44.6
4	21	20	44.2
4	21	30	42.6
4	21	40	41.5
4	21	50	41.1
4	22	0	41.0
4	22	10	41.1
4	22	20	41.2
4	22	30	40.8
4	22	40	39.9
4	22	50	39.4
4	23	0	38.8
4	23	10	39.0
4	23	20	38.6
4	23	30	38.2
4	23	40	38.0
4	23	50	37.9
5	0	0	37.7
5	0	10	37.8
5	0	20	37.8
5	0	30	37.8
5	0	40	37.7
5	0	50	37.8
5	1	0	37.9
5	1	10	37.8
5	1	20	37.8
5	1	30	38.0
5	1	40	38.1
5	1	50	38.2
5	2	0	38.1
5	2	10	38.2
5	2	20	38.2
5	2	30	38.2
5	2	40	38.3
5	2	50	38.6
5	3	0	38.5
5	3	10	38.4
5	3	20	38.5
5	3	30	38.7
5	3	40	38.8
5	3	50	39.0
5	4	0	39.1
5	4	10	39.2
5	4	20	39.4
5	4	30	39.2
5	4	40	38.9
5	4	50	39.0
5	5	0	38.9
5	5	10	38.8
5	5	20	38.8
5	5	30	38.7
5	5	40	38.6
5	5	50	38.7
5	6	0	38.7
5	6	10	38.5
5	6	20	38.6
5	6	30	38.6
5	6	40	38.8
5	6	50	39.0
5	7	0	39.9
5	7	10	41.4
5	7	20	43.1
5	7	30	44.8
5	7	40	46.4
5	7	50	48.3
5	8	0	48.9
5	8	10	49.6
5	8	20	51.9
5	8	30	53.6
5	8	40	53.3
5	8	50	51.4
5	9	0	47.9
5	9	10	47.2
5	9	20	46.6
5	9	30	46.5
5	9	40	45.9
5	9	50	45.4
5	10	0	43.7
5	10	10	42.7
5	10	20	42.6
5	10	30	42.4
5	10	40	42.7
5	10	50	42.4
5	11	0	42.5
5	11	10	43.0
5	11	20	44.1
5	11	30	45.6
5	11	40	46.5
5	11	50	46.6
5	12	0	46.9
5	12	10	49.4
5	12	20	51.6
5	12	30	53.3
5	12	40	55.4
5	12	50	58.1
5	13	0	58.1
5	13	10	61.5
5	13	20	66.1
5	13	30	67.0
5	13	40	71.2
5	13	50	71.7
5	14	0	73.0
5	14	10	76.1
5	14	20	80.1
5	14	30	81.1
5	14	40	80.2
5	14	50	81.5
5	15	0	83.4
5	15	10	88.0
5	15	20	88.9
5	15	30	90.3
5	15	40	90.8
5	15	50	89.3
5	16	0	90.7
5	16	10	91.7
5	16	20	93.3
5	16	30	92.3
5	16	40	92.1
5	16	50	90.5
5	17	0	88.7
5	17	10	88.9
5	17	20	86.9
5	17	30	89.8
5	17	40	87.1
5	17	50	86.9
5	18	0	82.8
5	18	10	85.9
5	18	20	84.9
5	18	30	82.2
5	18	40	76.6
5	18	50	75.7
5	19	0	72.9
5	19	10	69.4
5	19	20	65.2
5	19	30	66.0
5	19	40	65.3
5	19	50	58.9
5	20	0	57.6
5	20	10	56.6
5	20	20	53.6
5	20	30	50.5
5	20	40	46.2
5	20	50	44.3
5	21	0	42.9
5	21	10	42.3
5	21	20	42.0
5	21	30	41.6
5	21	40	41.5
5	21	50	41.1
5	22	0	41.0
5	22	10	40.8
5	22	20	40.5
5	22	30	40.1
5	22	40	39.7
5	22	50	39.3
5	23	0	38.9
5	23	10	39.0
5	23	20	38.6
5	23	30	38.6
5	23	40	38.3
5	23	50	38.0
6	0	0	38.0
6	0	10	37.9
6	0	20	37.9
6	0	30	37.8
6	0	40	37.8
6	0	50	37.5
6	1	0	37.7
6	1	10	37.6
6	1	20	37.7
6	1	30	37.8
6	1	40	37.7
6	1	50	37.6
6	2	0	37.6
6	2	10	37.7
6	2	20	37.7
6	2	30	37.7
6	2	40	37.8
6	2	50	38.0
6	3	0	38.0
6	3	10	38.0
6	3	20	38.0
6	3	30	37.9
6	3	40	38.1
6	3	50	38.2
6	4	0	38.2
6	4	10	38.8
6	4	20	39.0
6	4	30	38.8
6	4	40	38.7
6	4	50	38.7
6	5	0	38.9
6	5	10	38.9
6	5	20	38.7
6	5	30	38.8
6	5	40	38.4
6	5	50	38.4
6	6	0	38.4
6	6	10	38.4
6	6	20	38.3
6	6	30	38.1
6	6	40	38.1
6	6	50	38.1
6	7	0	38.1
6	7	10	38.2
6	7	20	38.2
6	7	30	38.3
6	7	40	38.2
6	7	50	38.2
6	8	0	38.2
6	8	10	38.5
6	8	20	38.4
6	8	30	38.3
6	8	40	38.5
6	8	50	38.4
6	9	0	38.5
6	9	10	38.7
6	9	20	38.7
6	9	30	38.8
6	9	40	39.1
6	9	50	39.0
6	10	0	39.0
6	10	10	39.8
6	10	20	40.2
6	10	30	40.9
6	10	40	41.8
6	10	50	42.4
6	11	0	42.6
6	11	10	43.2
6	11	20	44.1
6	11	30	44.9
6	11	40	45.0
6	11	50	44.4
6	12	0	44.2
6	12	10	46.8
