sensor,speed,lat,lon,freeway
775050,15.439054187178415,33.917640999999996,-118.080279,I-5
773305,30.313474820188304,34.033351,-118.11696,SR-60
775049,32.514586752704325,33.917724,-118.080114,I-5
771673,32.7170466765802,34.077871,-118.228706,I-110
716339,35.059183325895006,34.078212,-118.28795,SR-101
717046,35.794183674761925,34.036829,-118.28645800000001,I-10
773023,36.71905449126312,34.057728000000004,-118.243475,SR-101
717453,36.93560028192715,34.07696,-118.280932,SR-101
764249,36.948670354640505,34.033955999999996,-118.35559199999999,I-10
775080,38.71303533199794,33.911409,-118.071836,I-5
773258,39.47310519815657,34.035708,-118.168783,SR-60
760398,39.581597213796975,33.913415,-118.141221,I-105
764853,39.68007775586121,34.064609999999995,-118.251023,SR-101
774658,40.26622057597464,34.048365999999994,-118.265565,I-110
763700,41.023766084545336,34.027344,-118.21031699999999,I-5
